67;SELARL PAV CHANSEAU;292 BOULEVARD JEAN JACQUES BOSC;33130;BEGLES;44.819855;-0.543253;1
68;PAV BRUT;8 RUE PH DURAND DASSIER;33290;PAREMPUYRE;44.947422;-0.604632;1
69;PAV DE LA LIBERTE;7 PLACE DE LA LIBERTE;33160;SAINT-MEDARD-EN-JALLES;44.888552;-0.701920;1
70;PAV GALLI;67 AVENUE CAMILLE MAUMEY;33350;CASTILLON LA BATAILLE;44.85431;-0.051796;1
71;PAV BURDIGALA;10 PLACE MARTYRS DE LA RESISTANCE;33000;BORDEAUX;44.849212;-0.582752;1
72;PAV BEUTRE PAV CABOUT;204 AVENUE DE L ARGONNE;33700;MERIGNAC;44.818037;-0.700167;1
73;PAV CABROL;8 RUE PIERRE GEORGES LATECOERE ANGLE AVENUE MARCEL DASSAULT;33700;MERIGNAC;44.849185;-0.68604;1
74;SELARL PAV LAMOTHE-LANDERRON;3 GRANGES SUD;33190;LAMOTHE LANDERRON;44.56524;0.041664;1
75;PAV CAMGUILHEM;69 RUE DU QUATORZE JUILLET;33400;TALENCE;44.820855;-0.586864;1
76;PAV CAP DE BOS;CCAL CAP DE BOS 2 RUE D ARTOIS;33600;PESSAC;44.791921;-0.682131;1
77;PAV CAPDEVILLE;14 PLACE MONTESQUIEU;33650;LA BREDE;44.681133;-0.527402;1
78;PAV BERTHON;32 AVENUE MARC NOUAUX;33610;CESTAS;44.772651;-0.702317;1
79;PAV CASTAGNE;CCAL DE SARCIGNAN 45 CHEMIN GASTON;33140;VILLENAVE D ORNON;44.775825;-0.577016;1
80;PAV CASTANO-SPADA;36 ROUTE DE TOULOUSE;33800;BORDEAUX;44.813256;-0.573187;1
81;PAV ROBINE;1 AVENUE MENDES FRANCE;33340;LESPARRE MEDOC;45.311089;-0.939307;1
82;PAV CAZAURAN-JACOB;102 AVENUE DE VERDUN;33200;BORDEAUX;44.860261;-0.612722;1
83;PAV CAZAUX-LACLOTTE GIACOMETTI;81 RUE DU TONDU;33000;BORDEAUX;44.831061;-0.584213;1
84;PAV CAZENAVE;128 RUE DES GRAVIERES;33310;LORMONT;44.871723;-0.518864;1
85;PAV TAILLEFER-JOUZIER;7 RUE GAMBETTA;33230;COUTRAS;45.040834;-0.130428;1
86;PAV CENTRALE BASTIDE;49 COURS LE ROUZIC;33100;BORDEAUX;44.842887;-0.550672;1
87;PAV CENTRALE DE BRUGES;99 AVENUE CHARLES DE GAULLE;33520;BRUGES;44.882414;-0.612157;1
88;PAV DE GUJAN;49 COURS DE VERDUN;33470;GUJAN-MESTRAS;44.636216;-1.077453;1
89;PAV BOSC;7 RUE GEORGES MANDEL;33460;MARGAUX;45.040935;-0.674673;1
90;PAV CERDAN;8 AVENUE DE VERDUN;33610;CESTAS;44.780574;-0.689765;1
91;PAV CHARTIER;100 ROUTE DE LEOGNAN;33140;VILLENAVE D ORNON;44.763285;-0.580875;1
92;PAV CHASSAGNOUX;13 PLACE DECAZES;33500;LIBOURNE;44.91609;-0.240176;1
93;PAV CHATINIERES-DABADIE;160 RUE FONDAUDEGE;33000;BORDEAUX;44.849526;-0.584846;1
94;PAV LACHEZE;110 AVENUE DE LA SOMME;33700;MERIGNAC;44.829047;-0.663777;1
95;PAV PASTEUR;34 COURS PASTEUR;33000;BORDEAUX;44.833763;-0.57429;1
96;PAV DU STADE;19 AVENUE DU GENERAL DE GAULLE;33500;LIBOURNE;44.907276;-0.231463;1
97;PAV DES PORTES DU MEDOC;CCAL LECLERC 285 ROUTE DE PAUILLAC;33290;LEPian-M‚doc;44.955417;-0.628846;1
98;PAV CLEMENT;4 PLACE ARISTIDE BRIAND;33480;CASTELNAU DE MEDOC;45.027417;-0.798423;1
99;PAV CONSTANTIN;10 PLACE PIERRE ORUS;33350;CASTILLON-LA-BATAILLE;44.853382;-0.042918;1
100;PAV CAMILLE JULLIAN PAV MARCHE;6 PLACE CAMILLE JULLIAN;33000;BORDEAUX;44.838935;-0.572639;1
101;PAV CORDEIN SNC DARRICAU-PARDIAC;11 RUE PARTARRIEU;33124;AUROS;44.495448;-0.145883;1
102;PAV CORNU;5 AVENUE DE LA PLAGE;33740;ARES;44.766555;-1.14072;1
103;PAV COURBIN;14 ROUTE DE BORDEAUX;33125;HOSTENS;44.494596;-0.638844;1
104;PAV COURBIN;67 RUE ONESIME RECLUS;33220;PORT STE FOY ET PONCHAPT;44.843471;0.205927;1
105;PAV DEGEORGES;12 PLACE SAINT SEURIN;33680;LE PORGE;44.873121;-1.092606;1
106;PAV DUCOIN;18 RUE DE L EGLISE;33500;ARVEYRES;44.8843;-0.28337;1
107;PAV D HASTIGNAN;87 AVENUE ANATOLE FRANCE;33160;SAINT-MEDARD-EN-JALLES;44.893826;-0.745965;1
108;PAV DAGNAUD-LOTZ-DEGAIL;49 AVENUE DE MONTESQUIEU;33700;MERIGNAC;44.846276;-0.633538;1
109;SELARL PAV ROUAIS BARRAND;16 AVENUE JEAN JAURES;33240;LUGON ET L ILE DU CARNAY;44.95389;-0.344181;1
110;PAV DUPRAT-DAUFFY;2 AVENUE DU MARECHAL GALLIENI;33560;CARBON BLANC;44.895706;-0.510395;1
111;PAV AMESTOY- CAMPET;35 RUE JOSEPH BRUNET;33300;BORDEAUX;44.874663;-0.545791;1
112;PAV VERDIER-DORTIGNAC;11 AVENUE JEAN MAZARYCK;33700;MERIGNAC;44.85088;-0.643501;1
113;PAV TOURNOUX;9 PLACE DES COMBATTANTS;33121;CARCANS;45.07836;-1.04512;1
114;PAV SIMONNET;51 ROUTE DE LATRESNE;33360;CARIGNAN DE BORDEAUX;44.807811;-0.478877;1
115;PAV DE CARRIET;28 RUE PAUL LOUIS BEYDTS;33310;LORMONT;44.882743;-0.523343;1
116;PAV ANDRAUD;4 ALLEE DES CHARMES;33210;CASTETS EN DORTHE;44.560306;-0.158473;1
117;PAV DE CERONS PAV YUNG;RN 113 14 LATOUR;33720;CERONS;44.6330986022949;-0.3337120115757;1
118;SELARL PAV DE CHAMBERY;26 ROUTE DE LEOGNAN;33140;VILLENAVE D ORNON;44.76845;-0.57943;1
119;PHIE VAUCHAUSSADE DE CHAUMONT - HELIAS;105 BIS AVENUE DU GENERAL DE GAULLE;33190;GIRONDE SUR DROPT;44.584792;-0.086383;1
120;PAV DE COMPOSTELLE PAV NEVEU;CCAL DE COMPOSTELLE 55 RUE DE COMPOSTELLE;33600;PESSAC;44.794723;-0.608751;1
121;PAV DE CORBIAC PAV MOSNIER-THOUMAS;73 ROUTE DE FEYDIT;33160;ST MEDARD EN JALLES;44.874208;-0.703804;1
122;PAV DOLATI-LAFFLY;43 AVENUE DE GRADIGNAN;33600;PESSAC;44.802285;-0.625443;1
123;PAV DE FRIGERES PAV NORMANDIN;22 AVENUE DU MARECHAL FOCH;33850;LEOGNAN;44.73473;-0.598307;1
124;PAV DE FRONSAC;37 RUE DU GENERAL DE GAULLE;33126;FRONSAC;44.924157;-0.273189;1
125;PAV BATTINI;13 AVENUE BOSSUET;33320;LE TAILLAN MEDOC;44.902369;-0.700394;1
126;PAV DE L ALLIANCE PAV DE LA CITADELLE;2 COURS MAL DE LATTRE DE TASSIGNY;33390;BLAYE;45.12787;-0.66268;1
127;PAV-MARTIN DE L ORMEAU;407 AVENUE DU GENERAL DE GAULLE;33140;CADAUJAC;44.75236;-0.531705;1
128;PAV DE L ALOUETTE;14 AVENUE DU GENERAL LECLERC;33600;PESSAC;44.798375;-0.66429;1
129;PAV PREVOST;57 AVENUE COMBATTANTS AFRIQUE DU NORD;33500;LIBOURNE;44.914509;-0.231579;1
130;PAV DE L OCEAN;4 RUE ALEXANDRE DUMAS 4 RUE ALEXANDRE DUMAS;33680;LACANAU OCEAN;45.004333;-1.197783;1
131;PAV DEVALS;58 RUE DE LA PLAGE;33780;SOULAC SUR MER;45.514526;-1.124239;1
132;PAV DE LA BARBELAIS;509 RUE DE GUEYROSSE;33420;MOULON;44.846398;-0.221637;1
133;PAV LECLERCQ;38 RUE DE LA REPUBLIQUE;33220;STE FOY LA GRANDE;44.841698;0.21582;1
